#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
214,232258,נתון חסר,אביזרי ניקיון,דלי מטליות לרצפה חד פעמי 50 יח',בודד,יח',0,0,,
274,320184,נתון חסר,חומרי ניקוי,חומצת מלח 1 ליטר,ריק,יח',0,0,,
290,324253,נתון חסר,חומרי ניקוי,"חומר לניקוי אסלה "" אסלית"" 1 ליטר",בודד,יח',0,0,,
496,711271,נתון חסר,מסעדנות,חימומיות ג'ל,ארוז 80 יח',יח',0,0,,
572,920017,נתון חסר,מסעדנות,"חלוק ח""פ שרוול ארוך סקוטש 100 יח'",ארוז 100 יח',יח',0,0,,
267,3200900,נתון חסר,חומרי ניקוי,טבליות פיניש למדיח 1/100,ארוז 100 יח',יח',0,0,,
228,233250,נתון חסר,מוצרי נייר,טישו לאף 100 דף בשקיות 1/60,ריק,יח',0,0,,
209,231576,נתון חסר,מוצרי נייר,טישו לאף בקרטון 150 דף 36 אריזות בקרטון,ריק,יח',0,0,,
455,711013,נתון חסר,אביזרי ניקיון,יעה מתכת עם מקל,בודד,יח',0,0,,
601,92505,נתון חסר,אביזרי ניקיון,יעה מתכת ללא מקל,בודד,יח',0,0,,
574,921500,נתון חסר,אביזרי ניקיון,יעה פלסטיק + פס גומי עם מקל,בודד,יח',0,0,,
575,921503,נתון חסר,אביזרי ניקיון,יעה פלסטיק + גומי ללא מקל,בודד,יח',0,0,,
565,915090,נתון חסר,מסעדנות,כובע חד פעמי אקורדיון אל-בד,ארוז 2000 יח',יח',0,0,,
238,27740,נתון חסר,חד פעמי,כוס 12OZ PET שקופה קוטר 95 (כוס 1/3 קשיחה),ארוז 1000 יח',יח',0,0,,
450,7110053,נתון חסר,חד פעמי,כוס צ'ייסר 1OZ ,ארוז 2000 יח',יח',0,0,,ארוז 1440 יח'
545,911096,נתון חסר,חד פעמי,כוס שתיה חמה 10OZ,ארוז 1000 יח',יח',0,0,,
537,911002,נתון חסר,חד פעמי,כוס שתיה חמה 12OZ  ,ארוז 1000 יח',יח',0,0,,
538,911027,נתון חסר,חד פעמי,כוס שתיה חמה 4OZ אספרסו קרפט מחוזקת,ארוז 1000 יח',יח',0,0,,
544,911094,נתון חסר,חד פעמי,כוס שתיה חמה 8B  ,ארוז 1000 יח',יח',0,0,,
546,911097,נתון חסר,חד פעמי,כוס שתיה חמה 9OZ  ,ארוז 1000 יח',יח',0,0,,
539,911080,נתון חסר,חד פעמי,"כוס שתיה קרה 180 מ""ל",ארוז 3000 יח',יח',0,0,,
540,911081,נתון חסר,חד פעמי,"כוס שתיה קרה 330 מ""ל",ארוז 2000 יח',יח',0,0,,
558,913064,נתון חסר,חד פעמי,כף איכותית שנהב /שקוף 1/50,ריק,יח',0,0,,
555,913061,נתון חסר,חד פעמי,כפות איכותיות קרם/שקוף 1/50,ריק,יח',0,0,,
554,913060,נתון חסר,חד פעמי,כפיות איכותיות קרם /שקוף 1/50,ריק,יח',0,0,,
559,913083,נתון חסר,חד פעמי,כפיות פלסטיק לבן חד פעמי - פשוט 1/100,ריק,יח',0,0,,
51,117341,נתון חסר,חד פעמי,כפית קינוח 1/1000,ריק,יח',0,0,,
584,9220103,נתון חסר,אביזרי ניקיון,כפפות  ניטריל כחול ללא אבקה L,ארוז 10 קרטונים,יח',0,0,,
